StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
8 Ave & W 52 St,-3,0,-1,-3,-1,3,12,8,48,20,-10,-14,2,-16,-2,-3,7,-43,-34,8,-15,9,-21,-7,15,4,3,3,1,12,48,76,206,167,82,58,76,60,91,75,99,152,178,102,87,61,55,33
W 52 St & 9 Ave,-3,-3,0,1,2,-2,-10,-17,-13,9,-17,1,-11,-16,-13,0,-5,21,-18,-16,5,-5,6,-4,23,9,8,1,4,2,14,31,52,61,54,37,60,51,51,56,87,120,126,100,50,53,38,29
9 Ave & W 22 St,2,1,0,0,-1,-12,-48,-43,-37,17,5,15,23,3,34,20,22,17,9,-3,-3,1,-3,-2,10,7,0,0,1,20,72,95,97,87,97,111,123,136,150,142,150,173,163,109,81,65,30,20
W 15 St & 7 Ave,1,2,1,4,0,1,-24,-35,-42,-41,-4,-11,14,25,4,16,4,42,19,18,-5,9,-6,13,13,4,3,4,0,3,38,83,145,109,81,37,61,77,82,106,96,142,178,148,86,83,54,32
E 20 St & 2 Ave,2,0,1,1,1,0,-14,-32,-108,-9,1,0,5,5,12,21,23,43,45,13,6,-3,5,-1,19,4,3,1,1,10,58,150,245,119,63,76,73,59,118,113,164,237,215,135,121,73,46,33
W 26 St & 8 Ave,-1,-4,0,2,-2,-1,-22,-13,-41,-23,1,20,6,17,-8,34,16,48,22,-1,-2,-11,-20,6,19,12,4,2,2,11,72,125,223,141,75,88,102,112,98,130,116,170,172,147,92,97,82,28
W 67 St & Broadway,-2,0,1,2,1,5,-14,-36,-41,-4,-3,-5,4,11,0,5,16,43,11,8,-6,-2,4,-15,8,2,1,2,1,7,28,71,97,61,41,39,40,49,57,59,56,110,92,62,39,34,28,25
E 72 St & York Ave,1,0,0,0,0,0,4,3,-46,-11,1,8,-19,-12,-5,7,-25,-16,43,20,1,11,3,3,1,0,0,0,0,8,43,97,201,112,69,51,51,45,57,72,89,150,171,90,46,30,17,7
E 43 St & Vanderbilt Ave,0,0,-2,0,5,10,17,22,80,-20,-4,-3,-7,3,-10,-2,-11,-39,-21,-13,-11,-2,4,-6,4,2,2,0,5,46,125,304,606,420,121,58,90,77,129,120,318,555,283,157,45,22,16,12
W 38 St & 8 Ave,9,-2,-1,0,4,-3,-22,-25,26,-13,0,-7,-11,10,8,38,70,77,-35,-26,-19,-6,-15,-2,19,6,5,2,4,7,44,112,274,269,130,127,115,98,120,106,188,356,345,189,107,65,59,24
W 31 St & 7 Ave,-4,-1,1,0,-6,-33,-37,1,14,-16,-8,6,11,-1,70,89,26,16,-33,-25,-12,-27,-32,-14,14,7,3,2,8,45,119,157,294,245,94,72,89,87,154,191,180,304,335,158,124,83,66,28
Bank St & Hudson St,-1,-3,0,0,-1,-5,-14,-35,-48,4,1,11,9,-17,2,29,25,47,8,-5,-3,1,-2,-1,13,3,2,2,1,5,34,65,109,49,39,65,61,75,64,91,120,133,104,75,55,39,35,13
W 45 St & 8 Ave,2,0,3,-2,-1,-2,8,-12,14,-8,3,-3,0,26,-18,15,-1,4,17,2,-3,-21,-16,-8,22,8,4,4,1,8,42,74,101,132,72,63,52,81,74,61,91,158,198,118,65,85,84,42
Elizabeth St & Hester St,6,2,-1,1,0,-3,-11,2,-4,-5,-9,3,16,-2,-10,-1,9,5,18,-10,2,-7,5,1,14,6,3,3,0,3,17,32,56,81,54,67,73,92,85,81,88,114,116,76,72,45,49,41
E 25 St & 1 Ave,0,-3,1,0,-4,1,-14,10,-31,-49,-20,2,-5,20,9,-16,-4,18,22,25,-3,23,17,5,8,7,1,0,4,1,24,126,250,117,54,22,35,40,71,59,76,124,122,100,73,61,27,17
E 39 St & 2 Ave,2,4,1,-6,-2,-9,-18,8,59,33,7,13,-16,6,-3,5,-8,-11,-58,11,-19,12,1,-2,12,6,3,6,2,13,60,120,261,253,91,86,82,76,86,97,160,292,283,152,91,74,73,44
E 16 St & Irving Pl,-7,-4,0,2,-1,-3,20,37,4,-32,5,-12,3,-5,14,-3,-53,-15,54,31,-19,-16,-11,4,15,6,2,2,3,3,56,135,199,210,91,68,68,61,51,92,139,150,164,157,139,68,60,43
Perry St & Bleecker St,-4,1,1,-1,0,-1,-24,-24,-23,-3,5,4,3,-1,16,14,12,21,7,4,-3,3,-7,0,10,3,1,1,0,1,34,36,64,39,35,40,42,42,54,50,86,92,68,45,19,29,37,10
Washington Ave & Greene Ave,1,-1,0,0,0,-2,-8,-6,-19,-15,-4,3,1,2,-2,2,6,7,9,1,5,3,4,0,3,1,0,0,0,2,10,8,23,17,8,5,7,2,4,6,8,17,18,7,7,7,6,2
Washington St & Gansevoort St,-6,-4,-3,-2,-2,0,-17,-27,-19,18,8,13,26,-4,25,-6,-23,11,8,10,10,-3,1,-7,14,6,3,2,2,0,33,63,137,172,118,93,140,120,123,136,140,156,185,108,82,51,42,31
Lafayette St & E 8 St,-14,-5,0,-4,-3,10,45,129,75,-23,-4,12,-6,-11,-3,3,-37,-36,-52,5,-8,-33,-17,-13,34,13,8,4,5,18,79,221,338,299,173,120,189,244,257,264,281,430,402,289,243,154,105,61
E 6 St & Avenue B,5,-2,1,0,-1,-4,-15,-66,-36,0,11,-2,6,6,16,5,41,55,-4,3,4,-1,9,4,11,2,3,2,3,6,33,112,93,24,25,38,54,56,86,67,105,123,86,53,32,33,44,12
E 53 St & Lexington Ave,-3,-3,1,0,0,4,36,107,26,-5,-8,3,-10,-10,-9,-4,-29,-64,-6,-1,-2,2,0,3,5,3,1,0,2,8,42,127,64,51,33,42,57,65,41,54,84,108,44,21,14,4,12,5
1 Ave & E 68 St,5,0,-1,0,-2,0,27,25,-6,2,-3,-4,-9,-8,23,-4,-21,-23,-6,-9,-7,23,10,15,9,6,1,0,4,8,45,173,250,165,81,66,64,90,79,106,140,229,193,165,123,64,46,39
Broadway & W 58 St,-4,2,1,0,-2,-1,22,-10,75,48,28,-10,-12,-1,-31,5,-17,-48,-46,-18,-3,2,-24,-1,8,6,1,0,4,11,36,76,234,212,104,85,112,109,113,126,156,230,192,109,47,40,40,17
Greenwich Ave & 8 Ave,-4,2,-9,0,-3,7,10,8,8,-25,-24,20,-3,10,6,11,11,30,17,16,2,4,-18,-4,24,6,13,4,7,15,53,137,281,253,151,127,142,156,144,152,161,208,234,176,116,82,68,51
Forsyth St & Canal St,-1,2,-2,3,2,-3,2,5,-6,-11,-6,5,-1,8,-9,11,-6,1,8,-1,-1,-3,-3,6,11,6,2,7,2,3,12,33,38,75,36,56,45,45,43,50,61,81,92,59,43,15,27,20
Front St & Washington St,3,2,1,0,0,3,-1,1,39,48,11,7,5,0,2,-4,-18,-17,-18,0,-3,-1,3,-2,5,2,1,0,0,3,1,21,87,80,25,35,23,40,22,29,49,53,73,38,21,9,5,8
Meserole Ave & Manhattan Ave,2,-1,0,1,0,-1,2,-8,-13,-6,-3,2,-4,8,-6,-5,1,7,2,0,3,1,4,-1,10,3,0,1,0,1,8,12,37,17,13,11,16,20,25,20,19,27,30,26,13,15,10,9
E 4 St & 2 Ave,3,-2,0,0,-1,5,-8,-44,-76,-28,3,4,2,13,7,15,19,61,26,18,-1,-9,7,-6,25,8,2,2,5,11,22,75,126,82,42,48,42,67,63,83,103,119,112,78,43,73,47,37
E 75 St & 3 Ave,-1,-2,1,0,-1,-1,-1,-51,-108,-5,0,-4,12,5,5,6,24,41,38,-5,-2,-5,1,-3,7,2,1,0,3,5,23,70,136,28,22,19,28,37,46,52,66,130,87,33,27,27,11,18
1 Ave & E 62 St,11,4,-1,-3,-5,-7,-5,-20,-28,-49,-13,10,-17,11,-17,8,26,40,11,-1,2,-9,10,2,17,4,1,5,5,15,50,76,112,91,50,58,32,39,51,62,73,128,113,83,72,45,32,22
E 43 St & 2 Ave,-3,1,2,-1,-3,5,9,41,103,6,10,5,-8,-4,-4,-19,-41,-66,-7,-8,1,-3,4,-3,5,3,4,1,3,7,23,81,207,104,44,25,46,36,36,37,69,122,51,34,19,21,8,17
W 33 St & 7 Ave,-1,4,1,-1,0,-16,-63,-9,-3,-5,5,0,21,26,72,78,248,24,-16,-8,-14,14,-17,-13,17,6,5,3,10,28,87,106,134,111,49,71,77,104,152,154,369,224,252,173,108,94,71,39
6 Ave & W 33 St,3,2,-4,0,-3,1,-12,11,29,-25,4,11,1,16,33,13,33,48,-58,-56,-3,-9,-6,4,19,12,8,4,3,5,22,91,225,221,79,81,90,95,117,123,161,280,266,182,107,55,51,26
West Thames St,-1,1,2,0,3,-9,-19,-50,-81,-12,6,-5,16,20,-9,-6,22,29,0,0,15,2,12,7,1,1,2,0,3,9,33,96,170,87,57,48,55,77,72,55,75,138,116,72,51,31,18,13
E 7 St & Avenue A,-1,11,4,1,1,-10,-22,-68,-322,-253,-63,2,-1,-13,10,9,11,55,58,182,163,84,55,30,37,29,10,5,3,12,28,76,346,277,96,36,74,77,66,87,86,129,148,266,220,146,101,88
1 Ave & E 15 St,6,-2,0,0,4,-8,-17,-57,-81,-12,12,-5,4,-8,26,-10,10,81,64,26,-3,-3,2,-1,34,10,8,4,6,14,51,145,222,58,52,85,78,89,93,110,129,225,212,146,114,89,50,49
W 20 St & 7 Ave,-2,-3,-1,1,0,3,-7,-35,6,46,25,21,-4,-5,-4,-4,6,21,-18,-35,-3,-18,0,15,20,9,9,4,8,17,47,93,134,193,90,94,110,97,94,106,106,164,186,143,123,78,68,35
W 42 St & 8 Ave,0,-1,3,3,-4,-55,-349,-382,-172,-140,-32,3,-8,17,28,58,171,286,92,1,7,-6,6,-7,16,7,7,3,8,59,358,424,222,194,70,44,54,71,94,115,240,354,188,71,63,54,44,19
W 46 St & 11 Ave,5,0,0,0,0,0,2,2,-36,-16,-16,-5,-8,-1,8,-16,5,0,11,12,22,18,14,3,5,0,0,1,0,0,18,48,168,180,95,54,52,47,67,70,47,78,126,84,58,36,24,15
Nassau Ave & Russell St,0,0,0,0,0,1,-3,-16,-48,-30,-3,-6,-6,-6,2,5,4,14,15,24,10,2,7,5,4,0,0,0,0,1,19,30,76,42,12,24,12,10,10,15,16,36,49,46,14,22,9,9
Driggs Ave & N Henry St,5,2,1,0,-1,0,-8,-27,-41,-10,-12,-1,-6,5,-5,3,-3,-2,11,14,17,14,4,3,9,2,1,0,1,0,8,33,45,16,14,11,10,19,23,18,16,14,35,36,26,22,8,5
Greenpoint Ave & Manhattan Ave,5,0,0,0,1,1,4,-5,-17,-3,1,-7,-1,-1,1,6,-9,14,-1,-8,-5,1,2,9,11,2,1,0,1,1,4,13,35,34,17,9,13,17,13,16,24,25,33,31,23,15,16,15
W 13 St & 7 Ave,1,-2,4,0,3,0,2,0,-32,-40,0,7,10,-23,12,-3,24,27,22,-2,-4,-12,-4,-12,13,7,5,0,5,8,30,72,117,114,46,63,84,62,59,81,88,120,122,96,82,56,50,38
44 Dr & Jackson Ave,-2,0,0,0,0,-1,2,-1,20,1,2,-1,-3,2,0,-10,-4,-11,-4,-4,-1,6,-3,1,6,0,0,0,0,1,4,9,34,20,10,13,13,17,11,17,21,32,30,16,8,17,7,1
E 27 St & 1 Ave,2,1,-1,0,5,20,55,58,5,-34,0,-21,-21,-7,-21,-36,-8,-1,2,1,7,10,2,10,16,7,1,0,5,22,77,90,133,138,48,72,69,63,67,72,51,49,42,39,33,30,24,34
Driggs Ave & Lorimer St,3,1,0,-1,-2,0,-3,-7,-9,-9,-4,3,2,0,2,-7,6,6,10,4,-4,3,1,-1,5,1,2,1,3,0,5,15,31,31,12,9,10,8,14,9,10,21,20,18,14,21,7,11
Bayard St & Baxter St,1,0,-1,0,0,-6,-3,-3,12,10,-1,8,0,6,4,-11,-14,-22,-12,12,-9,6,11,-1,5,4,3,2,1,8,11,29,99,86,38,46,48,78,57,60,80,86,72,60,59,30,21,18
Barclay St & Church St,-3,4,-1,0,-3,8,37,4,27,-36,-9,18,4,0,-14,12,47,-28,-35,-15,3,-2,-3,0,11,6,1,0,7,10,87,152,393,266,109,53,88,70,82,110,197,310,255,115,71,60,29,18
Greenwich St & N Moore St,-3,-1,1,1,0,23,103,66,58,-14,4,-12,-8,6,-1,-27,-50,-47,-6,5,-4,-4,-4,0,7,1,1,1,0,29,153,124,172,78,48,66,69,75,77,90,173,155,87,55,48,39,24,10
E 15 St & 3 Ave,2,-1,-2,-1,-1,8,-4,-1,-31,-22,-2,13,-7,9,3,3,0,28,29,9,-6,1,-25,1,22,7,2,3,1,18,36,111,171,96,48,63,53,59,85,99,130,151,191,145,86,103,72,59
E 20 St & Park Ave,4,-5,-2,0,2,7,39,25,53,-3,-9,3,-10,-8,0,-19,-24,-26,-18,-22,6,1,1,-7,22,9,2,0,2,23,57,119,269,146,79,61,95,97,108,96,141,223,194,108,60,50,61,39
India St & Manhattan Ave,-2,-1,0,0,0,0,-2,-11,-24,-3,-7,1,-1,3,1,6,2,8,17,5,4,2,6,-3,10,3,0,0,0,0,2,13,40,23,14,3,7,9,13,8,14,23,41,34,24,22,20,11
Kosciuszko St & Nostrand Ave,-1,0,-2,0,0,-1,3,0,0,-3,0,1,-4,0,4,3,-1,3,-5,0,5,-2,4,1,5,0,2,0,0,1,3,0,6,3,4,5,4,6,6,5,5,7,5,4,7,6,8,3
E 25 St & 2 Ave,-1,2,1,-1,0,-3,-21,-48,-30,8,4,-9,7,6,-6,11,-3,21,30,14,-13,9,34,-4,21,4,7,1,2,13,53,116,171,147,86,64,93,80,82,113,141,183,171,157,146,107,86,49
E 14 St & Avenue B,8,11,1,1,2,-8,-35,-108,-322,-226,-71,-7,-6,-7,7,-6,21,67,76,115,76,81,81,34,28,11,9,1,4,10,81,125,355,249,111,64,52,53,63,84,111,163,164,178,138,121,101,50
Concord St & Bridge St,1,1,1,0,-6,5,-4,-9,-17,-10,4,9,-4,0,-1,4,-6,-1,7,10,2,1,1,-1,3,1,1,0,6,7,4,23,29,18,6,13,4,4,15,8,16,17,15,12,10,13,5,7
Hicks St & Montague St,4,0,0,0,0,-2,-9,-17,-35,-9,-4,-1,1,-1,-5,-1,7,2,20,14,13,4,-1,0,4,0,0,0,0,2,11,29,53,13,8,6,13,16,9,9,21,30,44,25,24,22,13,6
Division St & Bowery,2,-2,-1,0,-1,-3,-5,-5,-13,-7,0,3,18,-10,-18,-8,7,11,8,4,3,2,-3,0,18,2,1,0,1,3,7,21,62,53,50,38,57,48,52,36,48,51,40,40,35,38,18,20
9 Ave & W 45 St,-14,4,-1,1,1,1,-14,-48,-53,3,-12,8,5,19,-19,3,18,29,32,21,-6,20,8,-8,33,16,5,1,7,5,34,92,138,82,76,57,81,112,106,57,85,151,187,131,104,92,78,53
W 29 St & 9 Ave,4,-1,0,-1,-2,-2,-22,-38,-15,15,13,1,-17,11,-2,0,23,29,13,12,3,3,0,-6,12,1,0,1,2,12,40,84,88,101,94,77,59,73,63,80,85,123,139,86,51,35,26,21
Columbia St & Rivington St,1,1,-1,0,-2,-1,-9,-6,-61,-26,-8,-27,-22,0,3,-10,7,28,18,18,35,24,18,12,3,1,2,2,6,3,15,32,83,36,36,47,32,26,60,40,34,46,48,37,54,28,20,14
Christopher St & Greenwich St,5,-3,-6,1,1,0,-26,-50,-20,-26,17,-4,6,4,40,32,40,20,16,-1,1,-7,2,-1,13,9,8,3,1,8,71,178,275,128,86,76,69,108,136,152,176,248,212,119,89,74,38,29
Greenwich St & W Houston St,1,-1,0,3,4,3,38,75,115,69,1,-2,-10,12,3,-19,-46,-46,-79,12,12,0,-28,-6,7,5,0,3,4,7,54,117,246,143,59,74,117,115,130,124,165,244,246,131,110,74,65,17
LaGuardia Pl & W 3 St,-2,-2,-1,-3,-2,2,6,24,64,58,4,1,6,6,-11,7,2,-10,11,-19,-26,-53,-28,-4,26,23,5,3,2,2,22,70,166,144,70,69,116,103,132,151,140,195,167,149,152,115,65,48
Stanton St & Chrystie St,9,-3,-3,-3,0,-1,12,-6,-47,-63,-2,-7,11,-4,4,12,8,43,52,8,5,8,-13,-3,13,5,3,3,0,1,17,27,109,126,50,35,51,52,43,63,67,99,130,122,84,54,31,25
Pershing Square North,7,-9,-3,-1,-1,-6,-25,-14,-30,34,-8,8,8,11,2,37,26,19,-205,-39,-5,-19,-9,-10,21,13,3,1,1,61,183,486,780,613,209,145,154,135,138,175,294,617,761,297,155,113,59,24
Washington Pl & Broadway,-5,-3,1,-2,0,5,8,66,46,2,-2,0,-6,-1,-6,-10,-42,-26,0,-4,-11,-8,-2,-1,7,5,3,2,0,5,8,96,120,158,100,88,155,151,126,172,213,188,218,117,107,64,30,20
Fulton St & Broadway,1,-1,-1,0,0,0,9,12,6,16,2,8,19,-5,-4,-11,11,-20,-29,-9,-7,-5,-3,-1,5,3,1,0,0,0,21,40,60,62,34,28,43,39,37,49,65,88,84,48,21,9,9,3
Broadway & W 49 St,-1,0,1,0,0,3,17,15,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,19,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonard St & Church St,2,0,-3,0,4,0,5,-6,4,33,6,12,-5,0,2,-1,-1,-4,-7,-19,-14,-12,-10,0,4,2,3,0,6,0,21,48,77,107,48,31,47,62,34,47,63,86,71,65,40,32,18,14
Peck Slip & Front St,4,-2,1,2,4,1,2,32,12,-6,10,8,5,-3,17,-11,6,-32,-8,-4,7,6,3,-2,5,4,1,2,4,6,18,56,156,68,34,28,49,47,75,76,84,115,56,46,39,18,15,18
W 53 St & 10 Ave,-1,2,0,1,-2,-7,-8,-29,-64,-6,1,9,2,11,0,5,3,19,29,7,20,9,17,0,7,6,0,1,2,8,52,113,126,36,17,33,28,39,48,51,87,102,137,85,52,39,33,16
8 Ave & W 33 St,1,-1,-4,0,-2,-11,-189,-17,18,-5,10,-4,-1,14,38,96,121,20,-24,-3,-1,-9,1,-17,29,7,8,2,14,29,246,121,184,129,78,56,76,92,115,200,259,314,269,163,109,92,73,43
E 6 St & Avenue D,1,2,0,-2,1,1,-7,-29,-40,-8,1,1,0,2,2,5,-1,18,24,15,17,10,-1,1,3,2,0,2,3,2,12,38,56,18,9,9,16,21,22,28,37,46,63,53,41,16,9,5
E 2 St & Avenue C,3,1,5,1,-1,-5,-31,-42,-26,-1,0,-1,4,-1,10,1,19,13,74,8,8,2,-2,1,11,3,5,1,1,5,37,74,54,11,22,16,14,29,28,27,49,67,116,43,38,14,12,7
Broadway & W 51 St,-7,-3,0,-2,0,17,80,105,20,0,-11,-16,-3,-4,-13,-21,-59,-117,-10,-6,-5,-14,-10,-2,9,3,2,4,0,19,118,201,214,130,66,75,113,129,100,98,157,260,131,63,39,40,38,26
E 19 St & 3 Ave,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Marks Pl & 1 Ave,1,5,-2,0,-2,-15,-10,-49,-54,5,-15,-3,2,5,8,8,24,44,38,-9,-1,0,3,-6,19,17,4,0,2,23,22,72,66,25,51,45,60,55,62,80,82,108,94,89,55,59,53,22
Catherine St & Monroe St,0,0,0,-1,-1,2,-9,-14,-49,-19,-1,-7,1,1,1,-7,3,29,19,15,15,11,8,9,2,2,0,3,3,2,13,50,69,42,29,19,20,37,28,31,33,54,33,35,24,19,18,9
Centre St & Worth St,1,-2,0,0,0,1,8,18,74,42,2,-1,-21,-5,13,-12,-56,-33,-37,2,-11,4,-3,-1,3,2,0,0,0,3,14,36,122,76,50,45,61,65,53,46,104,77,59,28,21,8,13,5
E 72 St & Park Ave,-1,1,1,1,0,2,0,-23,-22,-21,-1,2,-5,-7,8,9,0,11,5,1,-2,1,-7,-2,3,1,1,3,0,2,24,53,70,61,36,47,42,59,41,57,42,74,49,31,19,9,9,10
Suffolk St & Stanton St,5,-1,2,0,-6,-3,-17,-28,-92,0,9,-3,5,-6,10,3,13,54,34,32,-5,-7,-10,0,19,8,4,0,6,5,23,73,146,44,77,59,64,42,70,77,79,122,176,128,74,49,48,28
Columbus Ave & W 72 St,-1,-3,0,0,-5,-7,-19,-40,-102,-53,-22,5,2,4,3,-11,26,50,36,29,2,5,8,4,9,6,0,0,5,9,25,52,138,106,46,41,49,61,56,51,75,108,82,61,44,29,32,16
Broadway & W 55 St,-7,-1,0,1,-1,2,9,29,60,28,2,-5,-12,-13,-45,-10,-45,-104,-28,3,-2,-2,0,-2,13,3,0,1,3,8,53,129,310,197,64,89,104,94,101,103,111,218,129,71,36,26,25,19
E 17 St & Broadway,-2,-1,1,1,2,18,18,79,146,35,0,-9,10,-12,-26,-8,29,-61,-56,-45,-12,-22,-14,-3,22,13,1,3,6,22,50,163,317,202,152,150,201,255,213,248,261,367,352,230,110,94,62,37
S 4 St & Rodney St,1,0,0,0,0,0,-5,5,1,-2,-4,-1,1,1,-1,0,-2,1,1,-1,-2,1,3,0,3,0,0,0,0,0,5,5,11,12,4,3,1,1,3,6,6,5,7,18,2,1,5,2
1 Ave & E 78 St,-3,0,-2,1,0,-6,-15,-59,-128,-34,-3,-3,5,7,9,6,22,101,29,-2,9,9,5,-2,13,2,4,3,0,8,27,97,166,74,37,42,45,43,72,75,72,153,95,48,35,27,29,20
Carmine St & 6 Ave,-9,-3,-1,1,-1,-7,-20,-42,-41,6,17,12,-6,-2,10,-16,23,55,58,9,-14,-20,-14,-17,33,15,7,7,5,7,32,105,248,251,157,110,126,149,159,145,163,269,289,181,121,106,91,91
